training_parameters,rmse,smse,msll,covered
"{""pre_epochs"": 2500, ""ppp_epochs"": 1500, ""post_epochs"": 1000, ""M"": 1024, ""learning_rate"": 0.3, ""prior_rate"": 0.6, ""variational_pp_probs"": 1.0}",0.993248778920286,1.0001759282304465,5.535840049363707,40.71
"{""pre_epochs"": 2500, ""ppp_epochs"": 1500, ""post_epochs"": 1000, ""M"": 1024, ""learning_rate"": 0.3, ""prior_rate"": 0.6, ""variational_pp_probs"": 0.6}",0.993248778920286,1.0001759282304465,5.672034736580249,40.2
"{""pre_epochs"": 2500, ""ppp_epochs"": 1500, ""post_epochs"": 1000, ""M"": 1024, ""learning_rate"": 0.3, ""prior_rate"": 0.6, ""variational_pp_probs"": 0.2}",0.993248778920286,1.0001759282304465,5.24324006934768,42.07
"{""pre_epochs"": 2500, ""ppp_epochs"": 1500, ""post_epochs"": 1000, ""M"": 1024, ""learning_rate"": 0.3, ""prior_rate"": 0.5, ""variational_pp_probs"": 1.0}",0.993248778920286,1.0001759282304465,4.860466004167422,43.67
"{""pre_epochs"": 2500, ""ppp_epochs"": 1500, ""post_epochs"": 1000, ""M"": 1024, ""learning_rate"": 0.3, ""prior_rate"": 0.5, ""variational_pp_probs"": 0.6}",0.993248778920286,1.0001759282304465,5.137356304033156,42.46
"{""pre_epochs"": 2500, ""ppp_epochs"": 1500, ""post_epochs"": 1000, ""M"": 1024, ""learning_rate"": 0.3, ""prior_rate"": 0.5, ""variational_pp_probs"": 0.2}",0.993248778920286,1.0001759282304465,5.1509765641221765,42.36
"{""pre_epochs"": 2500, ""ppp_epochs"": 1500, ""post_epochs"": 1000, ""M"": 1024, ""learning_rate"": 0.3, ""prior_rate"": 0.4, ""variational_pp_probs"": 1.0}",0.993248778920286,1.0001759282304465,4.2765651752173515,46.46
"{""pre_epochs"": 2500, ""ppp_epochs"": 1500, ""post_epochs"": 1000, ""M"": 1024, ""learning_rate"": 0.3, ""prior_rate"": 0.4, ""variational_pp_probs"": 0.6}",0.993248778920286,1.0001759282304465,4.861868892311647,43.67
"{""pre_epochs"": 2500, ""ppp_epochs"": 1500, ""post_epochs"": 1000, ""M"": 1024, ""learning_rate"": 0.3, ""prior_rate"": 0.4, ""variational_pp_probs"": 0.2}",0.993248778920286,1.0001759282304465,4.880126341271263,43.58
"{""pre_epochs"": 2500, ""ppp_epochs"": 1500, ""post_epochs"": 1000, ""M"": 1024, ""learning_rate"": 0.3, ""prior_rate"": 0.3, ""variational_pp_probs"": 1.0}",0.993248778920286,1.0001759282304465,4.749941819914376,44.1
"{""pre_epochs"": 2500, ""ppp_epochs"": 1500, ""post_epochs"": 1000, ""M"": 1024, ""learning_rate"": 0.3, ""prior_rate"": 0.3, ""variational_pp_probs"": 0.6}",0.993248778920286,1.0001759282304465,4.584097200904363,45.02
"{""pre_epochs"": 2500, ""ppp_epochs"": 1500, ""post_epochs"": 1000, ""M"": 1024, ""learning_rate"": 0.3, ""prior_rate"": 0.3, ""variational_pp_probs"": 0.2}",0.993248778920286,1.0001759282304465,4.701645873334298,44.39
"{""pre_epochs"": 2500, ""ppp_epochs"": 1500, ""post_epochs"": 1000, ""M"": 1024, ""learning_rate"": 0.2, ""prior_rate"": 0.6, ""variational_pp_probs"": 1.0}",0.993248778920286,1.0001759282304465,4.725056397229859,44.25
"{""pre_epochs"": 2500, ""ppp_epochs"": 1500, ""post_epochs"": 1000, ""M"": 1024, ""learning_rate"": 0.2, ""prior_rate"": 0.6, ""variational_pp_probs"": 0.6}",0.993248778920286,1.0001759282304465,5.198613235486472,42.19
"{""pre_epochs"": 2500, ""ppp_epochs"": 1500, ""post_epochs"": 1000, ""M"": 1024, ""learning_rate"": 0.2, ""prior_rate"": 0.6, ""variational_pp_probs"": 0.2}",0.993248778920286,1.0001759282304465,5.6080611590487335,40.42
"{""pre_epochs"": 2500, ""ppp_epochs"": 1500, ""post_epochs"": 1000, ""M"": 1024, ""learning_rate"": 0.2, ""prior_rate"": 0.5, ""variational_pp_probs"": 1.0}",0.993248778920286,1.0001759282304465,5.053814965496636,42.97
"{""pre_epochs"": 2500, ""ppp_epochs"": 1500, ""post_epochs"": 1000, ""M"": 1024, ""learning_rate"": 0.2, ""prior_rate"": 0.5, ""variational_pp_probs"": 0.6}",0.993248778920286,1.0001759282304465,5.3641106849213305,41.49
"{""pre_epochs"": 2500, ""ppp_epochs"": 1500, ""post_epochs"": 1000, ""M"": 1024, ""learning_rate"": 0.2, ""prior_rate"": 0.5, ""variational_pp_probs"": 0.2}",0.993248778920286,1.0001759282304465,5.131687235388122,42.51
"{""pre_epochs"": 2500, ""ppp_epochs"": 1500, ""post_epochs"": 1000, ""M"": 1024, ""learning_rate"": 0.2, ""prior_rate"": 0.4, ""variational_pp_probs"": 1.0}",0.993248778920286,1.0001759282304465,4.732067996606042,44.2
"{""pre_epochs"": 2500, ""ppp_epochs"": 1500, ""post_epochs"": 1000, ""M"": 1024, ""learning_rate"": 0.2, ""prior_rate"": 0.4, ""variational_pp_probs"": 0.6}",0.993248778920286,1.0001759282304465,5.0449822440132674,42.98
